"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.036957126E2,5.825019836E0,-9.947615117E-2,5.826852322E0
4.037457126E2,7.010586739E0,6.813991070E-2,6.314042568E0
4.037957126E2,7.057758808E0,-5.316773802E-2,7.285436630E0
4.038457126E2,8.992115021E0,-9.630364925E-2,7.915087700E0
4.038957126E2,7.599176407E0,-9.614656121E-2,7.542236805E0
4.039457126E2,7.284861565E0,9.256558865E-2,6.921800137E0
4.039957126E2,6.796174049E0,-5.395471305E-2,6.335314274E0
4.040457126E2,6.235055923E0,-1.738204062E-1,6.226439953E0
4.040957126E2,5.820836067E0,-1.178856753E-2,5.533465385E0
4.041457126E2,6.290634632E0,-1.509967446E-2,6.129640579E0
4.041957126E2,6.857796669E0,-9.829150140E-2,6.463172913E0
4.042457126E2,6.626806259E0,-1.165429130E-2,6.314524651E0
4.042957126E2,7.111490250E0,1.773867756E-3,6.666206360E0
4.043457126E2,9.108326912E0,-7.110804319E-2,8.908887863E0
4.043957126E2,8.356544495E0,-2.667268552E-2,7.565067291E0
4.044457126E2,6.257068634E0,-4.999642074E-2,6.394629955E0
4.044957126E2,7.352003574E0,-6.235486642E-2,6.843078613E0
4.045457126E2,7.099921703E0,2.284615673E-2,6.744394302E0
4.045957126E2,6.446261406E0,-5.839812383E-2,6.540845871E0
4.046457126E2,6.966484070E0,-1.226576194E-1,6.113469124E0
4.046957126E2,5.496667862E0,-7.023935765E-2,5.849043846E0
4.047457126E2,8.141406059E0,3.482524678E-2,7.226093292E0
4.047957126E2,6.879365921E0,-5.065932125E-2,6.862588406E0
4.048457126E2,7.151279449E0,-1.275286824E-1,6.826120853E0
4.048957126E2,7.156980991E0,9.351901710E-3,6.670667171E0
4.049457126E2,6.574405670E0,-3.987468034E-2,6.477873325E0
4.049957126E2,7.637524605E0,-4.866471514E-2,7.106850624E0
4.050457126E2,8.477394104E0,-1.408593357E-1,8.213047028E0
