"Time (s)","Pressure (hPa)"
1.935858976E2,9.773721313E2
1.936358976E2,9.773721313E2
1.936858976E2,9.773721313E2
1.937358976E2,9.773721313E2
1.937858976E2,9.773721313E2
1.938358976E2,9.773721313E2
1.938858976E2,9.773721313E2
1.939358976E2,9.773721313E2
1.939858976E2,9.773721313E2
1.940358976E2,9.773721313E2
1.940858976E2,9.773721313E2
1.941358976E2,9.773721313E2
1.941858976E2,9.773721313E2
1.942358976E2,9.773721313E2
1.942858976E2,9.773721313E2
1.943358976E2,9.773721313E2
1.943858976E2,9.773721313E2
1.944358976E2,9.773721313E2
1.944858976E2,9.773721313E2
1.945358976E2,9.773721313E2
1.945858976E2,9.773721313E2
1.946358976E2,9.773721313E2
1.946858976E2,9.773721313E2
1.947358976E2,9.773721313E2
1.947858976E2,9.773721313E2
1.948358976E2,9.773726196E2
1.948858976E2,9.773729858E2
1.949358976E2,9.773733521E2
1.949858976E2,9.773735352E2
1.950358976E2,9.773739624E2
1.950858976E2,9.773743896E2
1.951358976E2,9.773746338E2
1.951858976E2,9.773748779E2
1.952358976E2,9.773752441E2
1.952858976E2,9.773755493E2
1.953358976E2,9.773757324E2
1.953858976E2,9.773759155E2
1.954358976E2,9.773762817E2
1.954858976E2,9.773765869E2
1.955358976E2,9.773767700E2
1.955858976E2,9.773771362E2
1.956358976E2,9.773771973E2
1.956858976E2,9.773771973E2
1.957358976E2,9.773774414E2
1.957858976E2,9.773776245E2
1.958358976E2,9.773778687E2
1.958858976E2,9.773782959E2
1.959358976E2,9.773786011E2
1.959858976E2,9.773789673E2
1.960358976E2,9.773793945E2
1.960858976E2,9.773798828E2
1.961358976E2,9.773804321E2
1.961858976E2,9.773809204E2
1.962358976E2,9.773814087E2
1.962858976E2,9.773819580E2
1.963358976E2,9.773825073E2
1.963858976E2,9.773829956E2
1.964358976E2,9.773834839E2
1.964858976E2,9.773839722E2
1.965358976E2,9.773847046E2
1.965858976E2,9.773851318E2
1.966358976E2,9.773855591E2
1.966858976E2,9.773859863E2
1.967358976E2,9.773863525E2
1.967858976E2,9.773866577E2
1.968358976E2,9.773870239E2
1.968858976E2,9.773874512E2
1.969358976E2,9.773876953E2
1.969858976E2,9.773879395E2
1.970358976E2,9.773880615E2
1.970858976E2,9.773881836E2
1.971358976E2,9.773885498E2
1.971858976E2,9.773889160E2
1.972358976E2,9.773892212E2
1.972858976E2,9.773894653E2
1.973358976E2,9.773897705E2
1.973858976E2,9.773898926E2
1.974358976E2,9.773900757E2
1.974858976E2,9.773901367E2
1.975358976E2,9.773904419E2
1.975858976E2,9.773910522E2
1.976358976E2,9.773914795E2
1.976858976E2,9.773917847E2
1.977358976E2,9.773922119E2
1.977858976E2,9.773925171E2
1.978358976E2,9.773930054E2
1.978858976E2,9.773933716E2
1.979358976E2,9.773936768E2
1.979858976E2,9.773936768E2
1.980358976E2,9.773936768E2
1.980858976E2,9.773936768E2
1.981358976E2,9.773937378E2
1.981858976E2,9.773937988E2
1.982358976E2,9.773938599E2
1.982858976E2,9.773938599E2
1.983358976E2,9.773939209E2
1.983858976E2,9.773939209E2
1.984358976E2,9.773939209E2
1.984858976E2,9.773939209E2
1.985358976E2,9.773939209E2
1.985858976E2,9.773939209E2
1.986358976E2,9.773939209E2
1.986858976E2,9.773939209E2
1.987358976E2,9.773939209E2
1.987858976E2,9.773939209E2
1.988358976E2,9.773939209E2
1.988858976E2,9.773939819E2
1.989358976E2,9.773939819E2
1.989858976E2,9.773939819E2
1.990358976E2,9.773939819E2
1.990858976E2,9.773939819E2
1.991358976E2,9.773940430E2
1.991858976E2,9.773940430E2
1.992358976E2,9.773940430E2
1.992858976E2,9.773940430E2
1.993358976E2,9.773940430E2
1.993858976E2,9.773940430E2
1.994358976E2,9.773940430E2
1.994858976E2,9.773940430E2
1.995358976E2,9.773940430E2
1.995858976E2,9.773939819E2
1.996358976E2,9.773939819E2
1.996858976E2,9.773939209E2
1.997358976E2,9.773939209E2
1.997858976E2,9.773939209E2
1.998358976E2,9.773939209E2
1.998858976E2,9.773938599E2
1.999358976E2,9.773938599E2
1.999858976E2,9.773938599E2
2.000358976E2,9.773938599E2
2.000858976E2,9.773938599E2
2.001358976E2,9.773937988E2
2.001858976E2,9.773937988E2
2.002358976E2,9.773937988E2
2.002858976E2,9.773937988E2
2.003358976E2,9.773937988E2
2.003858976E2,9.773937988E2
2.004358976E2,9.773937378E2
2.004858976E2,9.773937378E2
2.005358976E2,9.773937378E2
2.005858976E2,9.773936768E2
2.006358976E2,9.773936768E2
2.006858976E2,9.773936768E2
2.007358976E2,9.773936768E2
2.007858976E2,9.773936768E2
2.008358976E2,9.773936157E2
2.008858976E2,9.773936157E2
2.009358976E2,9.773933716E2
2.009858976E2,9.773930054E2
2.010358976E2,9.773928223E2
2.010858976E2,9.773925781E2
2.011358976E2,9.773923340E2
2.011858976E2,9.773922119E2
2.012358976E2,9.773922119E2
2.012858976E2,9.773920898E2
2.013358976E2,9.773919067E2
2.013858976E2,9.773919067E2
2.014358976E2,9.773919067E2
2.014858976E2,9.773919067E2
2.015358976E2,9.773919067E2
2.015858976E2,9.773919067E2
2.016358976E2,9.773919067E2
2.016858976E2,9.773919067E2
2.017358976E2,9.773919067E2
2.017858976E2,9.773919067E2
2.018358976E2,9.773919067E2
2.018858976E2,9.773919067E2
2.019358976E2,9.773918457E2
2.019858976E2,9.773917847E2
2.020358976E2,9.773917847E2
2.020858976E2,9.773917847E2
2.021358976E2,9.773917236E2
2.021858976E2,9.773916626E2
2.022358976E2,9.773915405E2
2.022858976E2,9.773914795E2
2.023358976E2,9.773914185E2
2.023858976E2,9.773913574E2
2.024358976E2,9.773913574E2
2.024858976E2,9.773913574E2
2.025358976E2,9.773913574E2
2.025858976E2,9.773913574E2
2.026358976E2,9.773912964E2
2.026858976E2,9.773912354E2
2.027358976E2,9.773912354E2
2.027858976E2,9.773911743E2
2.028358976E2,9.773911133E2
2.028858976E2,9.773911133E2
2.029358976E2,9.773910522E2
2.029858976E2,9.773909912E2
2.030358976E2,9.773909302E2
2.030858976E2,9.773908691E2
2.031358976E2,9.773907471E2
2.031858976E2,9.773906860E2
2.032358976E2,9.773905640E2
2.032858976E2,9.773905640E2
2.033358976E2,9.773905029E2
2.033858976E2,9.773905029E2
2.034358976E2,9.773905029E2
2.034858976E2,9.773905029E2
2.035358976E2,9.773905029E2
2.035858976E2,9.773905029E2
2.036358976E2,9.773905029E2
2.036858976E2,9.773905029E2
2.037358976E2,9.773904419E2
2.037858976E2,9.773900757E2
2.038358976E2,9.773897095E2
2.038858976E2,9.773894043E2
2.039358976E2,9.773890381E2
2.039858976E2,9.773886108E2
2.040358976E2,9.773883057E2
2.040858976E2,9.773879395E2
2.041358976E2,9.773877563E2
2.041858976E2,9.773876343E2
2.042358976E2,9.773873291E2
2.042858976E2,9.773869629E2
2.043358976E2,9.773867188E2
2.043858976E2,9.773865356E2
2.044358976E2,9.773864136E2
2.044858976E2,9.773864136E2
2.045358976E2,9.773862305E2
2.045858976E2,9.773859863E2
2.046358976E2,9.773857422E2
2.046858976E2,9.773854980E2
2.047358976E2,9.773852539E2
2.047858976E2,9.773850708E2
2.048358976E2,9.773849487E2
2.048858976E2,9.773848267E2
2.049358976E2,9.773846436E2
2.049858976E2,9.773845215E2
2.050358976E2,9.773842163E2
2.050858976E2,9.773839111E2
2.051358976E2,9.773836060E2
2.051858976E2,9.773833618E2
2.052358976E2,9.773829956E2
2.052858976E2,9.773828125E2
2.053358976E2,9.773825684E2
2.053858976E2,9.773821411E2
2.054358976E2,9.773817749E2
2.054858976E2,9.773815918E2
2.055358976E2,9.773815918E2
2.055858976E2,9.773812256E2
2.056358976E2,9.773810425E2
2.056858976E2,9.773810425E2
2.057358976E2,9.773809204E2
2.057858976E2,9.773807983E2
2.058358976E2,9.773805542E2
2.058858976E2,9.773804932E2
2.059358976E2,9.773803711E2
