"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
6.317288358E2,3.734677887E1,-2.043121338E1,8.120246887E0
6.317788358E2,3.646939850E1,-1.904643250E1,6.557846069E0
6.318288358E2,3.518231964E1,-2.067858887E1,7.823608398E0
6.318788358E2,3.311242676E1,-2.199674988E1,6.281951904E0
6.319288358E2,3.387512970E1,-2.244924927E1,7.692535400E0
6.319788358E2,2.992582512E1,-2.120863342E1,6.802734375E0
6.320288358E2,2.992582512E1,-2.120863342E1,6.802734375E0
6.320788358E2,2.960434723E1,-2.169964600E1,7.504676819E0
6.321288358E2,3.031311035E1,-2.307171631E1,7.527282715E0
6.321788358E2,2.920619965E1,-2.015252686E1,7.063392639E0
6.322288358E2,2.961369324E1,-2.171203613E1,8.483695984E0
6.322788358E2,2.617320061E1,-2.294548035E1,7.767417908E0
6.323288358E2,2.464458084E1,-2.302729797E1,8.872947693E0
6.323788358E2,2.446092033E1,-2.365534973E1,8.598968506E0
6.324288358E2,2.016992950E1,-2.320932007E1,7.715354919E0
6.324788358E2,1.762317085E1,-2.226094055E1,1.005788422E1
6.325288358E2,1.634897995E1,-1.933081055E1,8.194061279E0
6.325788358E2,1.393202972E1,-1.850889587E1,8.721519470E0
6.326288358E2,1.195648384E1,-1.830033875E1,9.959365845E0
6.326788358E2,1.128563881E1,-1.598747253E1,9.646423340E0
6.327288358E2,1.071851921E1,-1.508790588E1,1.046961975E1
6.327788358E2,8.338064194E0,-1.348843384E1,1.126795197E1
6.328288358E2,5.964553833E0,-1.140267944E1,1.066236877E1
6.328788358E2,6.951598167E0,-1.012480164E1,1.163524628E1
6.329288358E2,5.127404213E0,-9.740875244E0,1.189363098E1
6.329788358E2,4.697923660E0,-9.308471680E0,1.314305115E1
6.330288358E2,3.996192932E0,-7.285018921E0,1.101546478E1
6.330788358E2,2.895778656E0,-4.704818726E0,1.265302277E1
6.331288358E2,2.716453552E0,-1.750350952E0,1.261672211E1
6.331788358E2,1.356628418E0,-1.514739990E0,1.385990143E1
6.332288358E2,1.278629303E0,5.251464844E-1,1.257682037E1
6.332788358E2,1.008598328E0,1.287353516E0,1.298487854E1
6.333288358E2,3.566226959E-1,3.905563354E0,1.322783661E1
6.333788358E2,9.168891907E-1,2.684707642E0,1.310747528E1
6.334288358E2,1.457098007E0,4.418006897E0,1.351159668E1
6.334788358E2,1.731128693E-1,6.535209656E0,1.417409515E1
6.335288358E2,-7.519721985E-2,7.929336548E0,1.401564026E1
6.335788358E2,1.468109131E0,7.991676331E0,1.444856262E1
6.336288358E2,1.325098038E0,1.139352417E1,1.608527374E1
