"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.806896000E2,-3.128370969E-3,3.054036573E-2,1.934838854E-2
3.807396000E2,4.253436811E-3,4.935288336E-3,2.360988222E-2
3.807896000E2,1.642998890E-3,7.068051957E-3,2.963283844E-2
3.808396000E2,-1.571401395E-2,-1.733734831E-2,-4.163761437E-2
3.808896000E2,-2.269350179E-2,1.426499337E-3,-8.357823826E-3
3.809396000E2,-2.222803049E-2,2.423121780E-2,3.213772550E-2
3.809896000E2,-2.780336328E-2,3.900934942E-3,1.253298949E-2
3.810396000E2,-4.187932238E-2,-2.397486009E-3,-7.160994411E-2
3.810896000E2,-7.600919157E-2,1.500260737E-2,-1.243788749E-2
3.811396000E2,-6.925233454E-2,-4.305037484E-2,5.608202890E-2
3.811896000E2,-5.580016598E-2,2.184531093E-2,6.894482300E-3
3.812396000E2,-5.647546425E-2,-8.183524944E-3,-1.982914098E-2
3.812896000E2,-3.625508770E-2,2.011493593E-2,-9.090731852E-3
3.813396000E2,-1.512877177E-2,-2.815498412E-2,1.042842213E-2
3.813896000E2,4.363916814E-3,3.405934572E-2,1.553855278E-2
3.814396000E2,2.250876650E-2,-6.087269261E-2,-1.680971123E-2
3.814896000E2,4.470064864E-2,3.334474936E-2,-1.455143746E-2
3.815396000E2,2.481107786E-2,-4.043977708E-3,1.794664375E-2
3.815896000E2,1.485645026E-2,1.899830252E-2,2.321063913E-2
3.816396000E2,2.745121485E-3,-1.532506105E-2,-1.033149567E-2
3.816896000E2,-7.690195926E-4,2.308567986E-2,-4.216226935E-2
3.817396000E2,1.656811219E-3,-2.915136144E-2,6.172370166E-3
3.817896000E2,-1.263550576E-2,3.167682514E-2,4.250773787E-2
3.818396000E2,-3.778481111E-2,-1.596027613E-2,2.406391315E-2
3.818896000E2,-1.704838313E-2,4.132449254E-2,-6.483761221E-2
3.819396000E2,-2.126254700E-2,-4.920172319E-2,-3.636574745E-2
